a,b,c,d,e,f
aluminum,,aluminum,['aluminum'],aluminum,aluminum
alven,alven,,,,alven
am,am,,,,am
amateur,,amateur,"['amate', 'ur']",amate ur,amate ur
amberlei,,amberlei,"['amber', 'lei']",amber lei,amber lei
ambient,,ambient,['ambient'],ambient,ambient
ambigu,ambigu,,,,ambigu
ambipolar,,ambipolar,"['am', 'bipolar']",am bipolar,am bipolar
amd,amd,,,,amd
amen,amen,,,,amen
amend,amend,,,,amend
ament,ament,,,,ament
amer,amer,,,,amer
america,,america,"['am', 'erica']",am erica,am erica
american,,american,"['america', 'n']",america n,america n
amfm,amfm,,,,amfm
amin,amin,,,,amin
ammonia,,ammonia,['ammonia'],ammonia,ammonia
amod,amod,,,,amod
amorph,amorph,,,,amorph
amount,amount,,,,amount
amper,amper,,,,amper
amplidyn,,amplidyn,['amplidyn'],amplidyn,amplidyn
amplif,amplif,,,,amplif
amplifi,,amplifi,['amplifi'],amplifi,amplifi
amplitud,,amplitud,['amplitud'],amplitud,amplitud
ams,ams,,,,ams
amsterdam,,amsterdam,['amsterdam'],amsterdam,amsterdam
amu,amu,,,,amu
an,an,,,,an
analog,analog,,,,analog
analogu,,analogu,"['analog', 'u']",analog u,analog u
analys,analys,,,,analys
analysi,,analysi,['analysi'],analysi,analysi
analyt,analyt,,,,analyt
analyz,analyz,,,,analyz
anasotrop,,anasotrop,['anasotrop'],anasotrop,anasotrop
anastigmat,,anastigmat,"['an', 'astigmat']",an astigmat,an astigmat
anc,anc,,,,anc
anchor,anchor,,,,anchor
ancient,,ancient,"['ancien', 't']",ancien t,ancien t
ancillari,,ancillari,['ancillari'],ancillari,ancillari
anden,anden,,,,anden
anderson,,anderson,['anderson'],anderson,anderson
andrejewski,,andrejewski,['andrejewski'],andrejewski,andrejewski
andrew,andrew,,,,andrew
andromeda,,andromeda,['andromeda'],andromeda,andromeda
andt,andt,,,,andt
andtamm,,andtamm,['andtamm'],andtamm,andtamm
anemomet,,anemomet,['anemomet'],anemomet,anemomet
ang,ang,,,,ang
angel,angel,,,,angel
angl,angl,,,,angl
anglo,anglo,,,,anglo
angular,,angular,"['an', 'gular']",an gular,an gular
anisometr,,anisometr,['anisometr'],anisometr,anisometr
anisotrop,,anisotrop,['anisotrop'],anisotrop,anisotrop
anisotropi,,anisotropi,['anisotropi'],anisotropi,anisotropi
annal,annal,,,,annal
annamalainagar,,annamalainagar,['annamalainagar'],annamalainagar,annamalainagar
anneal,anneal,,,,anneal
annihil,,annihil,"['an', 'nihil']",an nihil,an nihil
annot,annot,,,,annot
announc,,announc,['announc'],announc,announc
annual,annual,,,,annual
annul,annul,,,,annul
annular,,annular,"['annul', 'ar']",annul ar,annul ar
annulu,annulu,,,,annulu
annum,annum,,,,annum
anod,anod,,,,anod
anomal,anomal,,,,anomal
anomali,,anomali,['anomali'],anomali,anomali
anomalist,,anomalist,['anomalist'],anomalist,anomalist
ansatz,ansatz,,,,ansatz
answer,answer,,,,answer
antarct,,antarct,['antarct'],antarct,antarct
antarctica,,antarctica,"['antarctic', 'a']",antarctic a,antarctic a
antenna,,antenna,['antenna'],antenna,antenna
anti,anti,,,,anti
anticathod,,anticathod,['anticathod'],anticathod,anticathod
anticip,,anticip,['anticip'],anticip,anticip
anticlockwis,,anticlockwis,['anticlockwis'],anticlockwis,anticlockwis
antiferro,,antiferro,"['anti', 'ferro']",anti ferro,anti ferro
antiferroelectr,,antiferroelectr,['antiferroelectr'],antiferroelectr,antiferroelectr
antiferromagnet,,antiferromagnet,"['anti', 'ferromagnet']",anti ferromagnet,anti ferromagnet
antilogarithm,,antilogarithm,"['anti', 'logarithm']",anti logarithm,anti logarithm
antimetr,,antimetr,['antimetr'],antimetr,antimetr
antinod,,antinod,"['anti', 'nod']",anti nod,anti nod
antiparallel,,antiparallel,"['anti', 'parallel']",anti parallel,anti parallel
antiphas,,antiphas,['antiphas'],antiphas,antiphas
antipod,,antipod,"['anti', 'pod']",anti pod,anti pod
antireson,,antireson,['antireson'],antireson,antireson
antistat,,antistat,"['antis', 'tat']",antis tat,antis tat
antisymmetr,,antisymmetr,['antisymmetr'],antisymmetr,antisymmetr
anxiliari,,anxiliari,['anxiliari'],anxiliari,anxiliari
ao,ao,,,,ao
aoaipparatu,,aoaipparatu,['aoaipparatu'],aoaipparatu,aoaipparatu
aoe,aoe,,,,aoe
aooli,aooli,,,,aooli
ap,ap,,,,ap
aperiod,,aperiod,"['a', 'period']",a period,a period
apertur,,apertur,"['apert', 'ur']",apert ur,apert ur
apex,apex,,,,apex
api,api,,,,api
apia,apia,,,,apia
apic,apic,,,,apic
apir,apir,,,,apir
apoge,apoge,,,,apoge
appa,appa,,,,appa
appar,appar,,,,appar
apparatu,,apparatu,"['apparat', 'u']",apparat u,apparat u
appear,appear,,,,appear
append,append,,,,append
appendic,,appendic,['appendic'],appendic,appendic
appendix,,appendix,"['append', 'ix']",append ix,append ix
apper,apper,,,,apper
appleton,,appleton,"['apple', 'ton']",apple ton,apple ton
appli,appli,,,,appli
applic,applic,,,,applic
apport,apport,,,,apport
apprais,,apprais,['apprais'],apprais,apprais
appreach,,appreach,['appreach'],appreach,appreach
appreci,,appreci,['appreci'],appreci,appreci
approach,,approach,['approach'],approach,approach
appropr,,appropr,['appropr'],appropr,appropr
appropri,,appropri,['appropri'],appropri,appropri
appropriat,,appropriat,['appropriat'],appropriat,appropriat
approxim,,approxim,['approxim'],approxim,approxim
apreci,apreci,,,,apreci
april,april,,,,april
apsect,apsect,,,,apsect
apsid,apsid,,,,apsid
aquarid,,aquarid,"['aqua', 'rid']",aqua rid,aqua rid
aqueou,aqueou,,,,aqueou
ar,ar,,,,ar
arab,arab,,,,arab
arac,arac,,,,arac
araldit,,araldit,"['aral', 'dit']",aral dit,aral dit
arbit,arbit,,,,arbit
arbitari,,arbitari,['arbitari'],arbitari,arbitari
arbitrari,,arbitrari,['arbitrari'],arbitrari,arbitrari
arbitrarili,,arbitrarili,['arbitrarili'],arbitrarili,arbitrarili
arc,arc,,,,arc
arcetri,,arcetri,['arcetri'],arcetri,arcetri
archipelago,,archipelago,['archipelago'],archipelago,archipelago
arctic,arctic,,,,arctic
area,area,,,,area
areal,areal,,,,areal
arend,arend,,,,arend
argand,argand,,,,argand
argenc,argenc,,,,argenc
argon,argon,,,,argon
argu,argu,,,,argu
argument,,argument,['argument'],argument,argument
ariat,ariat,,,,ariat
aris,aris,,,,aris
arithmet,,arithmet,['arithmet'],arithmet,arithmet
arizona,,arizona,['arizona'],arizona,arizona
arm,arm,,,,arm
armatur,,armatur,['armatur'],armatur,armatur
armco,armco,,,,armco
arnold,arnold,,,,arnold
aromat,aromat,,,,aromat
arrai,arrai,,,,arrai
arran,arran,,,,arran
arrang,arrang,,,,arrang
arriv,arriv,,,,arriv
arrow,arrow,,,,arrow
arsen,arsen,,,,arsen
arsenid,,arsenid,"['ars', 'enid', 'arse', 'nid']",ars enid arse nid,ars enid arse nid
art,art,,,,art
arthur,arthur,,,,arthur
articl,articl,,,,articl
artif,artif,,,,artif
artifici,,artifici,['artifici'],artifici,artifici
ascend,ascend,,,,ascend
ascens,ascens,,,,ascens
ascent,ascent,,,,ascent
ascertain,,ascertain,"['as', 'certain']",as certain,as certain
aschermann,,aschermann,['aschermann'],aschermann,aschermann
ascrib,ascrib,,,,ascrib
asia,asia,,,,asia
asiago,asiago,,,,asiago
aso,aso,,,,aso
aspecst,,aspecst,['aspecst'],aspecst,aspecst
aspect,aspect,,,,aspect
aspher,aspher,,,,aspher
aspinal,,aspinal,"['a', 'spinal']",a spinal,a spinal
assadourian,,assadourian,['assadourian'],assadourian,assadourian
assembl,,assembl,['assembl'],assembl,assembl
assemblag,,assemblag,['assemblag'],assemblag,assemblag
assert,assert,,,,assert
assess,assess,,,,assess
assign,assign,,,,assign
assimil,,assimil,['assimil'],assimil,assimil
assist,assist,,,,assist
associ,associ,,,,associ
associat,,associat,['associat'],associat,associat
assum,assum,,,,assum
assumpt,,assumpt,['assumpt'],assumpt,assumpt
assymetr,,assymetr,['assymetr'],assymetr,assymetr
astabl,astabl,,,,astabl
astic,astic,,,,astic
astral,astral,,,,astral
astronaut,,astronaut,['astronaut'],astronaut,astronaut
astronom,,astronom,['astronom'],astronom,astronom
astronomi,,astronomi,['astronomi'],astronomi,astronomi
astrophys,,astrophys,['astrophys'],astrophys,astrophys
asymmetr,,asymmetr,['asymmetr'],asymmetr,asymmetr
asymmetri,,asymmetri,['asymmetri'],asymmetri,asymmetri
asymptot,,asymptot,['asymptot'],asymptot,asymptot
asynchron,,asynchron,['asynchron'],asynchron,asynchron
atcut,atcut,,,,atcut
athen,athen,,,,athen
ation,ation,,,,ation
atitud,atitud,,,,atitud
atla,atla,,,,atla
atlant,atlant,,,,atlant
atm,atm,,,,atm
atmospher,,atmospher,['atmospher'],atmospher,atmospher
atom,atom,,,,atom
attach,attach,,,,attach
attack,attack,,,,attack
attain,attain,,,,attain
attempt,,attempt,"['at', 'tempt']",at tempt,at tempt
attend,attend,,,,attend
attent,attent,,,,attent
attentu,,attentu,"['attent', 'u']",attent u,attent u
attenu,attenu,,,,attenu
attract,,attract,"['at', 'tract']",at tract,at tract
attribut,,attribut,['attribut'],attribut,attribut
au,au,,,,au
audibl,audibl,,,,audibl
audio,audio,,,,audio
auger,auger,,,,auger
augment,,augment,['augment'],augment,augment
august,august,,,,august
aura,aura,,,,aura
aural,aural,,,,aural
aurel,aurel,,,,aurel
auror,auror,,,,auror
aurora,aurora,,,,aurora
auspic,auspic,,,,auspic
austin,austin,,,,austin
australi,,australi,"['austral', 'i']",austral i,austral i
australia,,australia,['australia'],australia,australia
australian,,australian,"['austral', 'ian', 'australia', 'n']",austral ian australia n,austral ian australia n
austria,,austria,"['au', 'stria']",au stria,au stria
author,author,,,,author
auto,auto,,,,auto
autocorrel,,autocorrel,['autocorrel'],autocorrel,autocorrel
autocorrelogram,,autocorrelogram,['autocorrelogram'],autocorrelogram,autocorrelogram
autodyn,,autodyn,['autodyn'],autodyn,autodyn
autom,autom,,,,autom
automat,,automat,"['auto', 'mat']",auto mat,auto mat
automata,,automata,"['auto', 'mata', 'automat', 'a']",auto mata automat a,auto mata automat a
automatism,,automatism,"['automat', 'ism']",automat ism,automat ism
automodul,,automodul,['automodul'],automodul,automodul
automorph,,automorph,"['auto', 'morph']",auto morph,auto morph
autotransform,,autotransform,"['auto', 'transform']",auto transform,auto transform
autumn,autumn,,,,autumn
aux,aux,,,,aux
auxiliari,,auxiliari,"['auxiliar', 'i']",auxiliar i,auxiliar i
avail,avail,,,,avail
aval,aval,,,,aval
avalanch,,avalanch,"['ava', 'lanch']",ava lanch,ava lanch
avc,avc,,,,avc
averag,averag,,,,averag
avoid,avoid,,,,avoid
avro,avro,,,,avro
awai,awai,,,,awai
ax,ax,,,,ax
axcit,axcit,,,,axcit
axford,axford,,,,axford
axi,axi,,,,axi
axia,axia,,,,axia
axial,axial,,,,axial
axisymmetr,,axisymmetr,['axisymmetr'],axisymmetr,axisymmetr
axl,axl,,,,axl
ayr,ayr,,,,ayr
azbel,azbel,,,,azbel
azimuth,,azimuth,['azimuth'],azimuth,azimuth
azor,azor,,,,azor
ba,ba,,,,ba
babcock,,babcock,"['bab', 'cock']",bab cock,bab cock
babinet,,babinet,"['babi', 'net']",babi net,babi net
bachynski,,bachynski,['bachynski'],bachynski,bachynski
back,back,,,,back
background,,background,"['back', 'ground']",back ground,back ground
backlash,,backlash,"['back', 'lash']",back lash,back lash
backscatt,,backscatt,"['back', 'scatt']",back scatt,back scatt
backward,,backward,"['back', 'ward']",back ward,back ward
bacon,bacon,,,,bacon
bad,bad,,,,bad
baedpass,,baedpass,['baedpass'],baedpass,baedpass
bagneux,,bagneux,['bagneux'],bagneux,bagneux
baguio,baguio,,,,baguio
bai,bai,,,,bai
bailei,bailei,,,,bailei
bakelit,,bakelit,"['bake', 'lit']",bake lit,bake lit
baker,baker,,,,baker
balanc,balanc,,,,balanc
balfour,,balfour,['balfour'],balfour,balfour
ball,ball,,,,ball
ballast,,ballast,['ballast'],ballast,ballast
ballist,,ballist,['ballist'],ballist,ballist
balloon,,balloon,"['ball', 'oon', 'ballo', 'on']",ball oon ballo on,ball oon ballo on
balmer,balmer,,,,balmer
baloon,baloon,,,,baloon
baltic,baltic,,,,baltic
balun,balun,,,,balun
banalor,,banalor,"['banal', 'or']",banal or,banal or
banara,banara,,,,banara
band,band,,,,band
banded,banded,,,,banded
bandfilt,,bandfilt,['bandfilt'],bandfilt,bandfilt
bandpass,,bandpass,"['band', 'pass']",band pass,band pass
bandstop,,bandstop,"['band', 'stop', 'bands', 'top']",band stop bands top,band stop bands top
bandwidth,,bandwidth,"['band', 'width']",band width,band width
bandyopadhyai,,bandyopadhyai,['bandyopadhyai'],bandyopadhyai,bandyopadhyai
banerje,,banerje,['banerje'],banerje,banerje
banerji,,banerji,['banerji'],banerji,banerji
bangalor,,bangalor,['bangalor'],bangalor,bangalor
bangui,bangui,,,,bangui
bank,bank,,,,bank
baov,baov,,,,baov
bar,bar,,,,bar
barang,barang,,,,barang
bardeen,,bardeen,"['bard', 'een']",bard een,bard een
barden,barden,,,,barden
barium,barium,,,,barium
bark,bark,,,,bark
barkhausen,,barkhausen,['barkhausen'],barkhausen,barkhausen
barlow,barlow,,,,barlow
barnett,,barnett,"['bar', 'nett', 'barnet', 't']",bar nett barnet t,bar nett barnet t
barometr,,barometr,['barometr'],barometr,barometr
barrel,barrel,,,,barrel
barrett,,barrett,"['barret', 't']",barret t,barret t
barrier,,barrier,"['barrie', 'r']",barrie r,barrie r
barrow,barrow,,,,barrow
bartel,bartel,,,,bartel
base,base,,,,base
baselin,,baselin,"['base', 'lin', 'basel', 'in']",base lin basel in,base lin basel in
basi,basi,,,,basi
basic,basic,,,,basic
bass,bass,,,,bass
batavia,,batavia,"['bata', 'via']",bata via,bata via
batch,batch,,,,batch
bate,bate,,,,bate
bath,bath,,,,bath
batio,batio,,,,batio
batt,batt,,,,batt
battel,battel,,,,battel
batteri,,batteri,"['batter', 'i']",batter i,batter i
bauer,bauer,,,,bauer
baum,baum,,,,baum
bayard,bayard,,,,bayard
bayer,bayer,,,,bayer
bazzard,,bazzard,['bazzard'],bazzard,bazzard
bbc,bbc,,,,bbc
bc,bc,,,,bc
be,be,,,,be
beacon,beacon,,,,beacon
bead,bead,,,,bead
beam,beam,,,,beam
beamwidth,,beamwidth,"['beam', 'width']",beam width,beam width
bear,bear,,,,bear
beat,beat,,,,beat
bedrijf,,bedrijf,['bedrijf'],bedrijf,bedrijf
bee,bee,,,,bee
beeswax,,beeswax,"['bees', 'wax']",bees wax,bees wax
beever,beever,,,,beever
began,began,,,,began
begin,begin,,,,begin
behav,behav,,,,behav
behavior,,behavior,['behavior'],behavior,behavior
behaviour,,behaviour,"['be', 'haviour']",be haviour,be haviour
bekefi,bekefi,,,,bekefi
belevitch,,belevitch,['belevitch'],belevitch,belevitch
belfast,,belfast,"['bel', 'fast']",bel fast,bel fast
belgian,,belgian,['belgian'],belgian,belgian
believ,believ,,,,believ
bell,bell,,,,bell
belmar,belmar,,,,belmar
belong,belong,,,,belong
belt,belt,,,,belt
ben,ben,,,,ben
bench,bench,,,,bench
bend,bend,,,,bend
bendix,bendix,,,,bendix
bendixson,,bendixson,['bendixson'],bendixson,bendixson
bengal,bengal,,,,bengal
bennett,,bennett,"['ben', 'nett', 'bennet', 't']",ben nett bennet t,ben nett bennet t
bent,bent,,,,bent
benthem,,benthem,"['ben', 'them', 'bent', 'hem']",ben them bent hem,ben them bent hem
benzen,benzen,,,,benzen
benzophenon,,benzophenon,['benzophenon'],benzophenon,benzophenon
bergeron,,bergeron,['bergeron'],bergeron,bergeron
berkner,,berkner,['berkner'],berkner,berkner
berlin,berlin,,,,berlin
bermin,bermin,,,,bermin
bernard,,bernard,"['bern', 'ard']",bern ard,bern ard
bernoulli,,bernoulli,['bernoulli'],bernoulli,bernoulli
berylium,,berylium,['berylium'],berylium,berylium
besk,besk,,,,besk
bessel,bessel,,,,bessel
best,best,,,,best
beta,beta,,,,beta
betatron,,betatron,"['beta', 'tron']",beta tron,beta tron
beth,beth,,,,beth
bevel,bevel,,,,bevel
beynon,beynon,,,,beynon
bh,bh,,,,bh
bhar,bhar,,,,bhar
bi,bi,,,,bi
bia,bia,,,,bia
bias,bias,,,,bias
biax,biax,,,,biax
biaxial,,biaxial,"['bi', 'axial']",bi axial,bi axial
bibliographi,,bibliographi,['bibliographi'],bibliographi,bibliographi
bidirect,,bidirect,"['bi', 'direct']",bi direct,bi direct
bielectr,,bielectr,['bielectr'],bielectr,bielectr
bifilar,,bifilar,"['bi', 'filar']",bi filar,bi filar
bifurc,bifurc,,,,bifurc
biharmon,,biharmon,"['bihar', 'mon']",bihar mon,bihar mon
bilater,,bilater,"['bi', 'later']",bi later,bi later
bilinear,,bilinear,"['bi', 'linear']",bi linear,bi linear
billion,,billion,"['bill', 'ion']",bill ion,bill ion
bimod,bimod,,,,bimod
bimolecular,,bimolecular,"['bi', 'molecular']",bi molecular,bi molecular
binari,binari,,,,binari
bind,bind,,,,bind
binder,binder,,,,binder
binocular,,binocular,"['bin', 'ocular']",bin ocular,bin ocular
binomi,binomi,,,,binomi
binza,binza,,,,binza
bioelectr,,bioelectr,['bioelectr'],bioelectr,bioelectr
biolog,biolog,,,,biolog
biot,biot,,,,biot
bipolar,,bipolar,"['bi', 'polar']",bi polar,bi polar
biprism,,biprism,"['bi', 'prism']",bi prism,bi prism
biquadrat,,biquadrat,"['bi', 'quadrat']",bi quadrat,bi quadrat
bire,bire,,,,bire
birefring,,birefring,['birefring'],birefring,birefring
birkbeck,,birkbeck,"['birk', 'beck']",birk beck,birk beck
birmingham,,birmingham,['birmingham'],birmingham,birmingham
birnbaum,,birnbaum,['birnbaum'],birnbaum,birnbaum
bisect,bisect,,,,bisect
bismuth,,bismuth,['bismuth'],bismuth,bismuth
bista,bista,,,,bista
bistabl,,bistabl,['bistabl'],bistabl,bistabl
bistat,bistat,,,,bistat
bit,bit,,,,bit
bitter,bitter,,,,bitter
bival,bival,,,,bival
bivari,bivari,,,,bivari
black,black,,,,black
blackman,,blackman,"['black', 'man']",black man,black man
blackout,,blackout,"['black', 'out']",black out,black out
blank,blank,,,,blank
blanket,,blanket,"['blank', 'et']",blank et,blank et
blankstantan,,blankstantan,['blankstantan'],blankstantan,blankstantan
blast,blast,,,,blast
ble,ble,,,,ble
bleed,bleed,,,,bleed
blizzard,,blizzard,['blizzard'],blizzard,blizzard
bllt,bllt,,,,bllt
blob,blob,,,,blob
bloch,bloch,,,,bloch
block,block,,,,block
bloembergen,,bloembergen,['bloembergen'],bloembergen,bloembergen
blow,blow,,,,blow
blue,blue,,,,blue
bluff,bluff,,,,bluff
blum,blum,,,,blum
board,board,,,,board
bobbin,bobbin,,,,bobbin
bode,bode,,,,bode
bodi,bodi,,,,bodi
boella,boella,,,,boella
bogoliuboff,,bogoliuboff,['bogoliuboff'],bogoliuboff,bogoliuboff
bohm,bohm,,,,bohm
bohr,bohr,,,,bohr
boi,boi,,,,boi
bolomet,,bolomet,"['bolo', 'met']",bolo met,bolo met
boltmann,,boltmann,"['bolt', 'mann']",bolt mann,bolt mann
bolton,bolton,,,,bolton
boltzmann,,boltzmann,['boltzmann'],boltzmann,boltzmann
bomb,bomb,,,,bomb
bombard,,bombard,"['bomb', 'ard']",bomb ard,bomb ard
bond,bond,,,,bond
bondi,bondi,,,,bondi
bonk,bonk,,,,bonk
bonn,bonn,,,,bonn
book,book,,,,book
booker,booker,,,,booker
boolean,,boolean,"['boo', 'lean', 'boole', 'an']",boo lean boole an,boo lean boole an
boost,boost,,,,boost
boot,boot,,,,boot
